id,group_name,addr_pool
21,"w6江西电信","240e:13::/32,240e:24:c000::/34,240e:2c:c000::/34,240e:53::/32,240e:6a:6000::/35,240e:cc::/30,240e:106::/34,240e:108:8a::/48,240e:108:1170::/47,240e:108:1172::/48,240e:146::/34,240e:186::/34,240e:1c6::/34,240e:260::/30,240e:370::/29,240e:460::/30,240e:560::/30,240e:670::/29,240e:770::/29,240e:860::/30,240e:960::/30,240e:980:8a00::/40,240e:982:7000::/39,240e:982:7200::/40,240e:a60::/30,240e:b70::/29"
22,"w6辽宁电信","240e:1:8000::/33,240e:20:6000::/35,240e:28:6000::/35,240e:41:8000::/33,240e:68:2000::/36,240e:86::/31,240e:100:c000::/34,240e:108:26::/48,240e:109:8026::/48,240e:140:c000::/34,240e:180:c000::/34,240e:1c0:c000::/34,240e:20c::/30,240e:30c::/30,240e:40c::/30,240e:50c::/30,240e:60c::/30,240e:698:2600::/40,240e:70c::/30,240e:80c::/30,240e:90c::/30,240e:980:2600::/40,240e:a0c::/30,240e:b0c::/30"
23,"w6内蒙古电信","240e:3::/33,240e:20:c000::/35,240e:28:c000::/35,240e:43::/33,240e:68:5000::/36,240e:8c::/31,240e:101:8000::/34,240e:141:8000::/34,240e:181:8000::/34,240e:1c1:8000::/34,240e:218::/30,240e:318::/30,240e:418::/30,240e:518::/30,240e:618::/30,240e:718::/30,240e:818::/30,240e:918::/30,240e:a18::/30,240e:b18::/30"
24,"w6宁夏电信","240e:3:8000::/33,240e:20:e000::/35,240e:28:e000::/35,240e:43:8000::/33,240e:68:6000::/36,240e:8e::/31,240e:101:c000::/34,240e:108:9b::/48,240e:108:1060::/48,240e:141:c000::/34,240e:181:c000::/34,240e:1c1:c000::/34,240e:21c::/30,240e:31c::/30,240e:41c::/30,240e:51c::/30,240e:61c::/30,240e:71c::/30,240e:81c::/30,240e:91c::/30,240e:980:9b00::/40,240e:981:6000::/40,240e:a1c::/30,240e:b1c::/30"
25,"w6青海电信","240e:4::/33,240e:21::/35,240e:29::/35,240e:44::/33,240e:68:7000::/36,240e:90::/31,240e:102::/34,240e:108:91::/48,240e:108:1070::/48,240e:142::/34,240e:182::/34,240e:1c2::/34,240e:220::/30,240e:320::/30,240e:420::/30,240e:520::/30,240e:620::/30,240e:720::/30,240e:820::/30,240e:920::/30,240e:980:9100::/40,240e:981:7000::/40,240e:a20::/30,240e:b20::/30"
26,"w6山东电信","240e:e::/32,240e:23:8000::/34,240e:2b:8000::/34,240e:4e::/32,240e:69:c000::/35,240e:b8::/30,240e:104:4000::/34,240e:108:4e::/48,240e:108:86::/48,240e:108:1100::/47,240e:144:4000::/34,240e:184:4000::/34,240e:1c4:4000::/34,240e:244::/30,240e:344::/30,240e:444::/30,240e:544::/30,240e:644::/30,240e:744::/30,240e:844::/30,240e:944::/30,240e:980:4e00::/40,240e:980:8600::/40,240e:982::/39,240e:a44::/30,240e:b44::/30"
27,"w6山西电信","240e:4:8000::/33,240e:21:2000::/35,240e:29:2000::/35,240e:44:8000::/33,240e:68:8000::/36,240e:92::/31,240e:102:4000::/34,240e:108:8e::/48,240e:108:1080::/48,240e:142:4000::/34,240e:182:4000::/34,240e:1c2:4000::/34,240e:224::/30,240e:324::/30,240e:424::/30,240e:524::/30,240e:624::/30,240e:724::/30,240e:824::/30,240e:924::/30,240e:980:8e00::/40,240e:981:8000::/40,240e:a24::/30,240e:b24::/30"
28,"w6陕西电信","240e:f::/32,240e:23:c000::/34,240e:2b:c000::/34,240e:4f::/32,240e:69:e000::/35,240e:bc::/30,240e:105:4000::/34,240e:108:24::/48,240e:108:44::/48,240e:108:93::/48,240e:108:1140::/47,240e:109:8024::/48,240e:109:8044::/48,240e:145:4000::/34,240e:185:4000::/34,240e:1c5:4000::/34,240e:254::/30,240e:358::/29,240e:454::/30,240e:554::/30,240e:658::/29,240e:698:2400::/40,240e:698:4400::/40,240e:758::/29,240e:854::/30,240e:954::/30,240e:980:2400::/40,240e:980:4400::/40,240e:980:9300::/40,240e:982:4000::/39,240e:a54::/30,240e:b58::/29"
29,"w6上海电信","240e:18::/31,240e:26::/33,240e:2e::/33,240e:40:4::/48,240e:58::/31,240e:67:c000::/36,240e:6b::/34,240e:e0::/29,240e:106:c000::/34,240e:108:21::/48,240e:108:41::/48,240e:108:4a::/48,240e:108:83::/48,240e:108:11a0::/44,240e:109:8021::/48,240e:146:c000::/34,240e:186:c000::/34,240e:1c6:c000::/34,240e:26c::/30,240e:388::/29,240e:46c::/30,240e:56c::/30,240e:688::/29,240e:698:2100::/40,240e:788::/29,240e:86c::/30,240e:96c::/30,240e:980:2100::/40,240e:980:4100::/40,240e:980:4a00::/40,240e:980:8300::/40,240e:982:a000::/36,240e:a6c::/30,240e:b88::/29"
30,"w6四川电信","240e:16::/31,240e:25:8000::/33,240e:2d:8000::/33,240e:56::/31,240e:6a:c000::/34,240e:d8::/29,240e:107:4000::/34,240e:108:23::/48,240e:108:4c::/48,240e:108:88::/48,240e:108:11c1::/48,240e:108:11c2::/48,240e:109:8023::/48,240e:109:804c::/48,240e:147:4000::/34,240e:187:4000::/34,240e:1c7:4000::/34,240e:274::/30,240e:398::/29,240e:474::/30,240e:574::/30,240e:698:2300::/40,240e:698:4c00::/40,240e:699::/32,240e:69a::/31,240e:69c::/30,240e:798::/29,240e:874::/30,240e:974::/30,240e:980:2300::/40,240e:980:4c00::/40,240e:980:8800::/40,240e:982:c100::/40,240e:982:c200::/40,240e:a74::/30,240e:b98::/29"
31,"w6天津电信","240e:5::/33,240e:21:4000::/35,240e:29:4000::/35,240e:45::/33,240e:68:9000::/36,240e:94::/31,240e:102:8000::/34,240e:108:96::/48,240e:108:1090::/44,240e:142:8000::/34,240e:182:8000::/34,240e:1c2:8000::/34,240e:228::/30,240e:328::/30,240e:428::/30,240e:528::/30,240e:628::/30,240e:728::/30,240e:828::/30,240e:928::/30,240e:980:9600::/40,240e:981:9000::/36,240e:a28::/30,240e:b28::/30"
32,"w6未知省份电信","2001:c68::/32,2400:9380:90b0::/48,2400:9380:90b2::/47,2400:9380:90b4::/46,2400:9380:90b8::/45,2402:8800::/32,240e::/49,240e:0:0:8000::/50,240e:0:0:c000::/51,240e:0:0:e000::/52,240e:0:0:f000::/53,240e:0:0:f800::/54,240e:0:0:fc00::/55,240e:0:0:fe00::/56,240e:0:0:ff00::/57,240e:0:0:ff80::/58,240e:0:0:ffc0::/59,240e:0:0:ffe0::/60,240e:0:0:fff0::/61,240e:0:0:fff8::/62,240e:0:0:fffc::/63,240e:0:0:ffff::/64,240e:0:1::/48,240e:0:2::/47,240e:0:4::/46,240e:0:8::/47,240e:0:b::/48,240e:0:c::/46,240e:0:10::/44,240e:0:20::/43,240e:0:40::/42,240e:0:80::/41,240e:0:100::/40,240e:0:200::/39,240e:0:400::/38,240e:0:800::/37,240e:0:1000::/36,240e:0:2000::/35,240e:0:4000::/34,240e:20::/36,240e:20:1000::/37,240e:20:1801::/48,240e:20:1802::/47,240e:20:1804::/46,240e:20:1808::/45,240e:20:1810::/44,240e:20:1820::/43,240e:20:1840::/42,240e:20:1880::/41,240e:20:1900::/40,240e:20:1a00::/39,240e:20:1c00::/38,240e:28::/35,240e:30::/28,240e:40::/46,240e:40:5::/48,240e:40:6::/47,240e:40:8::/45,240e:40:10::/46,240e:40:15::/48,240e:40:16::/47,240e:40:18::/45,240e:40:20::/43,240e:40:40::/42,240e:40:80::/41,240e:40:100::/40,240e:40:200::/39,240e:40:400::/38,240e:40:800::/37,240e:40:1000::/36,240e:40:2000::/35,240e:40:4000::/34,240e:60::/32,240e:65::/32,240e:66::/32,240e:67::/33,240e:67:8000::/34,240e:67:d000::/36,240e:67:e000::/35,240e:68:b000::/36,240e:6c::/30,240e:70::/28,240e:80::/31,240e:100::/43,240e:100:20::/44,240e:100:70::/44,240e:100:80::/41,240e:100:100::/40,240e:100:200::/39,240e:100:400::/38,240e:100:800::/37,240e:100:1000::/36,240e:100:2000::/35,240e:108:29::/48,240e:108:30::/44,240e:108:4f::/48,240e:108:50::/44,240e:108:60::/43,240e:108:9c::/46,240e:108:a0::/43,240e:108:c0::/42,240e:108:100::/40,240e:108:200::/39,240e:108:400::/38,240e:108:800::/37,240e:108:1011::/48,240e:108:1012::/47,240e:108:1014::/46,240e:108:1018::/45,240e:108:1020::/43,240e:108:1040::/43,240e:108:1061::/48,240e:108:1062::/47,240e:108:1064::/46,240e:108:1068::/45,240e:108:1071::/48,240e:108:1072::/47,240e:108:1074::/46,240e:108:1078::/45,240e:108:1081::/48,240e:108:1082::/47,240e:108:1084::/46,240e:108:1088::/45,240e:108:10a0::/44,240e:108:10c0::/43,240e:108:10e2::/47,240e:108:10e4::/46,240e:108:10e8::/45,240e:108:10f0::/48,240e:108:10f3::/48,240e:108:10f4::/46,240e:108:10f8::/45,240e:108:1102::/47,240e:108:1104::/46,240e:108:1108::/45,240e:108:1112::/47,240e:108:1114::/46,240e:108:1118::/45,240e:108:1120::/44,240e:108:1132::/47,240e:108:1134::/46,240e:108:1138::/45,240e:108:1142::/47,240e:108:1144::/46,240e:108:1148::/45,240e:108:1151::/48,240e:108:1152::/47,240e:108:1154::/46,240e:108:1158::/45,240e:108:1173::/48,240e:108:1174::/46,240e:108:1178::/45,240e:108:1184::/46,240e:108:1188::/45,240e:108:1190::/48,240e:108:1196::/47,240e:108:1198::/45,240e:108:11b4::/46,240e:108:11b8::/45,240e:108:11c0::/48,240e:108:11c3::/48,240e:108:11c4::/46,240e:108:11c8::/45,240e:108:11d0::/47,240e:108:11d2::/48,240e:108:11d7::/48,240e:108:11d9::/48,240e:108:11da::/47,240e:108:11dc::/46,240e:108:11e4::/46,240e:108:11e8::/45,240e:108:11f0::/44,240e:108:1200::/39,240e:108:1400::/38,240e:108:1800::/37,240e:108:2000::/35,240e:108:4000::/34,240e:108:8000::/33,240e:109::/33,240e:109:8020::/48,240e:109:8029::/48,240e:109:802a::/47,240e:109:802c::/46,240e:109:8030::/44,240e:109:8040::/47,240e:109:8043::/48,240e:109:8049::/48,240e:109:804a::/48,240e:109:804d::/48,240e:109:804e::/47,240e:109:8050::/44,240e:109:8060::/43,240e:109:8080::/41,240e:109:8100::/40,240e:109:8200::/39,240e:109:8400::/38,240e:109:8800::/37,240e:109:9000::/36,240e:109:a000::/35,240e:109:c000::/34,240e:10a::/31,240e:10c::/30,240e:110::/28,240e:120::/27,240e:140::/34,240e:148::/29,240e:150::/28,240e:160::/27,240e:180::/34,240e:188::/29,240e:190::/28,240e:1a0::/27,240e:1c0::/34,240e:1c8::/29,240e:1d0::/28,240e:1e0::/27,240e:200::/30,240e:280::/25,240e:300::/30,240e:3c0::/26,240e:400::/30,240e:480::/25,240e:500::/30,240e:580::/25,240e:600::/30,240e:698:2000::/40,240e:698:2900::/40,240e:698:2a00::/39,240e:698:2c00::/38,240e:698:3000::/36,240e:698:4000::/39,240e:698:4300::/40,240e:698:4900::/40,240e:698:4a00::/40,240e:698:4d00::/40,240e:698:4e00::/39,240e:698:5000::/36,240e:698:6000::/35,240e:698:8000::/33,240e:6c0::/26,240e:700::/30,240e:7c0::/26,240e:800::/30,240e:880::/25,240e:900::/30,240e:980:2900::/40,240e:980:3000::/36,240e:980:4f00::/40,240e:980:5000::/36,240e:980:6000::/35,240e:980:9c00::/38,240e:980:a000::/35,240e:980:c000::/34,240e:981:1100::/40,240e:981:1200::/39,240e:981:1400::/38,240e:981:1800::/37,240e:981:2000::/35,240e:981:4000::/35,240e:981:6100::/40,240e:981:6200::/39,240e:981:6400::/38,240e:981:6800::/37,240e:981:7100::/40,240e:981:7200::/39,240e:981:7400::/38,240e:981:7800::/37,240e:981:8100::/40,240e:981:8200::/39,240e:981:8400::/38,240e:981:8800::/37,240e:981:a000::/36,240e:981:c000::/35,240e:981:e200::/39,240e:981:e400::/38,240e:981:e800::/37,240e:981:f000::/40,240e:981:f300::/40,240e:981:f400::/38,240e:981:f800::/37,240e:982:200::/39,240e:982:400::/38,240e:982:800::/37,240e:982:1200::/39,240e:982:1400::/38,240e:982:1800::/37,240e:982:2000::/36,240e:982:3200::/39,240e:982:3400::/38,240e:982:3800::/37,240e:982:4200::/39,240e:982:4400::/38,240e:982:4800::/37,240e:982:5100::/40,240e:982:5200::/39,240e:982:5400::/38,240e:982:5800::/37,240e:982:7300::/40,240e:982:7400::/38,240e:982:7800::/37,240e:982:8400::/38,240e:982:8800::/37,240e:982:9500::/40,240e:982:9600::/39,240e:982:9800::/37,240e:982:b400::/38,240e:982:b800::/37,240e:982:c000::/40,240e:982:c300::/40,240e:982:c400::/38,240e:982:c800::/37,240e:982:d000::/39,240e:982:d200::/40,240e:982:d700::/40,240e:982:d900::/40,240e:982:da00::/39,240e:982:dc00::/38,240e:982:e400::/38,240e:982:e800::/37,240e:982:f000::/36,240e:983::/36,240e:983:1000::/37,240e:983:1800::/38,240e:983:1c00::/39,240e:983:1e10::/44,240e:983:1e20::/43,240e:983:1e40::/42,240e:983:1e80::/41,240e:983:1f00::/40,240e:983:2000::/35,240e:983:4000::/34,240e:983:8000::/33,240e:984::/30,240e:988::/29,240e:990::/28,240e:9a0::/27,240e:9c0::/26,240e:a00::/30,240e:a80::/25,240e:b00::/30,240e:bc0::/26,240e:c00::/22,240e:1000::/20,240e:2000::/19"
33,"w6西藏电信","240e:5:8000::/33,240e:21:6000::/35,240e:29:6000::/35,240e:45:8000::/33,240e:68:a000::/36,240e:96::/31,240e:102:c000::/34,240e:108:2e::/48,240e:142:c000::/34,240e:182:c000::/34,240e:1c2:c000::/34,240e:22c::/30,240e:32c::/30,240e:42c::/30,240e:52c::/30,240e:62c::/30,240e:72c::/30,240e:82c::/30,240e:92c::/30,240e:980:2e00::/40,240e:a2c::/30,240e:b2c::/30"
34,"w6香港电信","2400:9380::/33,2400:9380:8000::/43,2400:9380:8050::/44,2400:9380:8060::/43,2400:9380:8080::/41,2400:9380:8100::/42,2400:9380:8150::/44,2400:9380:8160::/43,2400:9380:8180::/41,2400:9380:8200::/39,2400:9380:8400::/38,2400:9380:8800::/37,2400:9380:9000::/43,2400:9380:9090::/44,2400:9380:90d0::/44,2400:9380:90e0::/43,2400:9380:9100::/40,2400:9380:9200::/39,2400:9380:9400::/38,2400:9380:9800::/37,2400:9380:a000::/35,2400:9380:c000::/34"
35,"w6新疆电信","2400:9380:90b1::/48,240e:11::/32,240e:24:4000::/34,240e:2c:4000::/34,240e:51::/32,240e:6a:2000::/35,240e:c4::/30,240e:104:8000::/34,240e:108:8b::/48,240e:108:1110::/47,240e:144:8000::/34,240e:184:8000::/34,240e:1c4:8000::/34,240e:248::/30,240e:348::/30,240e:448::/30,240e:548::/30,240e:648::/30,240e:748::/30,240e:848::/30,240e:948::/30,240e:980:8b00::/40,240e:982:1000::/39,240e:a48::/30,240e:b48::/30"
36,"w6云南电信","240e:12::/32,240e:24:8000::/34,240e:2c:8000::/34,240e:52::/32,240e:6a:4000::/35,240e:c8::/30,240e:104:c000::/34,240e:108:89::/48,240e:144:c000::/34,240e:184:c000::/34,240e:1c4:c000::/34,240e:24c::/30,240e:34c::/30,240e:44c::/30,240e:54c::/30,240e:64c::/30,240e:74c::/30,240e:84c::/30,240e:94c::/30,240e:980:8900::/40,240e:a4c::/30,240e:b4c::/30"
